"","V1","V2","V3"
"1","0","A","0.00249124455882353"
"2","0","B","0.0025394722"
"3","0","C","0.0024761028"
"4","0","D","0.00239029776923077"
"5","0","G","0.00276207511111111"
"6","0","H","0.002305943"
"7","0","J","0.0023928658"
"8","0","L","0.00246737757142857"
"9","0","M","0.00261949642857143"
"10","0","N","0.00239172627777778"
"11","0","P","0.00263866783333333"
"12","0","R","0.0022214815"
"13","0","S","0.00249418454545455"
"14","0","V","0.002288741"
"15","A","B","0.00240438173469388"
"16","A","C","0.00230006966850829"
"17","A","D","0.00236223347619048"
"18","A","G","0.00241117128985507"
"19","A","H","0.002365595"
"20","A","J","0.00232238034437086"
"21","A","L","0.00232561098477157"
"22","A","M","0.00240247843298969"
"23","A","N","0.00238870211619718"
"24","A","P","0.002459170275"
"25","A","R","0.00229212116901408"
"26","A","S","0.00234563025490196"
"27","A","V","0.00234829556666667"
"28","B","C","0.00235937094871795"
"29","B","D","0.00235227938461538"
"30","B","G","0.00243344721428571"
"31","B","H","0.00261024316666667"
"32","B","J","0.00240490838888889"
"33","B","L","0.00235276784210526"
"34","B","M","0.00233875975"
"35","B","N","0.00235383247368421"
"36","B","P","0.00254878285714286"
"37","B","R","0.0023581831875"
"38","B","S","0.00255191066666667"
"39","B","V","0.0023643276"
"40","C","D","0.002398065"
"41","C","G","0.00240128593571429"
"42","C","H","0.0022934553125"
"43","C","J","0.00240833724434389"
"44","C","L","0.00234869534951456"
"45","C","M","0.00234097535211268"
"46","C","N","0.0023273731048951"
"47","C","P","0.00226605865384615"
"48","C","R","0.00267379027683616"
"49","C","S","0.00244287598648649"
"50","C","V","0.00234719078125"
"51","D","G","0.00249503916666667"
"52","D","H","0.00315835766666667"
"53","D","J","0.002296956625"
"54","D","L","0.00239710951315789"
"55","D","M","0.00236157587878788"
"56","D","N","0.00231944935897436"
"57","D","P","0.00241758941666667"
"58","D","R","0.00345298282222222"
"59","D","S","0.00227932157894737"
"60","D","V","0.00229968825"
"61","G","H","0.00231308157142857"
"62","G","J","0.00230923284782609"
"63","G","L","0.0023834313271028"
"64","G","M","0.00234769064285714"
"65","G","N","0.00230727608"
"66","G","P","0.0022291898"
"67","G","R","0.00236254937209302"
"68","G","S","0.00237276080769231"
"69","G","V","0.002274367375"
"70","H","J","0.00255901761538462"
"71","H","L","0.00289548365217391"
"72","H","M","0.00227652083333333"
"73","H","N","0.00217851690909091"
"74","H","P","0"
"75","H","R","0.002204861"
"76","H","S","0.00226814318181818"
"77","H","V","0.002179842"
"78","J","L","0.00244870017183099"
"79","J","M","0.00225063503703704"
"80","J","N","0.00229630413846154"
"81","J","P","0.0023104072"
"82","J","R","0.0022853687027027"
"83","J","S","0.00243917195555556"
"84","J","V","0.00246847704347826"
"85","L","M","0.0023806346407767"
"86","L","N","0.00231551896052632"
"87","L","P","0.002348451"
"88","L","R","0.00232760528395062"
"89","L","S","0.00232050784313725"
"90","L","V","0.00257372483333333"
"91","M","N","0.00244443448120301"
"92","M","P","0.00237120366666667"
"93","M","R","0.00235774975"
"94","M","S","0.00319138887804878"
"95","M","V","0.00282399"
"96","N","P","0.00255383551923077"
"97","N","R","0.00242085046774194"
"98","N","S","0.00244626318644068"
"99","N","V","0.00256919342666667"
"100","P","R","0.00227441142857143"
"101","P","S","0.00227187566666667"
"102","P","V","0.00242153642857143"
"103","R","S","0.00268101753846154"
"104","R","V","0.00235051066666667"
"105","S","V","0.00258897957142857"
